Serial number,id,Locations,Latitude,Longitude
279,a81758fffe030fcc,TY-0503,65.05882825,25.46593577
280,a81758fffe030fcb,TY-0502,65.0588455,25.4659351
281,a81758fffe030fca,TY-0501,65.05886473,25.46593443
282,a81758fffe030fe4,TY-0411,65.0586733,25.46597466
283,a81758fffe031095,TY-0410,65.05869253,25.46597064
284,a81758fffe031085,TY-0409,65.05871119,25.46596929
285,a81758fffe030fc8,TY-0408,65.05872985,25.46596862
286,a81758fffe030fc7,TY-0407,65.05875106,25.46596929
287,a81758fffe030fc6,TY-0406,65.05877057,25.46597064
288,a81758fffe030fc5,TY-0405,65.05879065,25.46597131
289,a81758fffe030fc4,TY-0404,65.05880874,25.46597265
290,a81758fffe030fc3,TY-0403,65.05882797,25.46597265
291,a81758fffe030fc2,TY-0402,65.05884494,25.46597265
292,a81758fffe030fc1,TY-0401,65.05886416,25.46597064
293,a81758fffe030d4c,TY-0310,65.05869253,25.46600886
294,a81758fffe030d4d,TY-0309,65.05871119,25.46600752
295,a81758fffe030fc0,TY-0308,65.05873013,25.46600685
296,a81758fffe030fbe,TY-0307,65.05875106,25.46600819
297,a81758fffe030fbd,TY-0306,65.05877057,25.46600752
298,a81758fffe030fbc,TY-0305,65.05879036,25.46600953
299,a81758fffe030fbb,TY-0304,65.05880874,25.46601154
300,a81758fffe030fba,TY-0303,65.05882769,25.46601087
301,a81758fffe030fb9,TY-0302,65.05884522,25.46601087
302,a81758fffe030fb5,TY-0301,65.05886445,25.46600953
303,a81758fffe030d4b,TY-0211,65.0586733,25.46604574
304,a81758fffe030d4a,TY-0210,65.05869253,25.4660444
305,a81758fffe031084,TY-0209,65.05871232,25.46604708
306,a81758fffe030fb8,TY-0208,65.05873042,25.46604574
307,a81758fffe030fb7,TY-0207,65.05875191,25.46604574
308,a81758fffe030fb6,TY-0206,65.05877,25.46604708
309,a81758fffe030fb4,TY-0205,65.05879065,25.46604976
310,a81758fffe030fb3,TY-0204,65.05880789,25.46604842
311,a81758fffe030fb2,TY-0203,65.05882882,25.46604976
312,a81758fffe030fb1,TY-0202,65.05884578,25.46604976
313,a81758fffe030fb0,TY-0201,65.05886445,25.46604708
314,a81758fffe031082,TY-0110,65.05869253,25.46609402
315,a81758fffe031081,TY-0109,65.05870893,25.46609268
316,a81758fffe030fae,TY-0108,65.05872929,25.46609536
317,a81758fffe030fad,TY-0107,65.05875021,25.46609536
318,a81758fffe030fac,TY-0106,65.05877114,25.46609268
319,a81758fffe030fab,TY-0105,65.0587898,25.46609268
320,a81758fffe030fa8,TY-0104,65.05880676,25.46609268
321,a81758fffe030faa,TY-0103,65.05882825,25.46609268
322,9a81758fffe030fa9,TY-0102,65.05884465,25.46608999
323,a81758fffe030fa7,TY-0101,65.05886445,25.46608999
324,a81758fffe030ff9,TY-1903,65.05882938,25.46533898
325,a81758fffe030f56,TY-2004,65.05881525,25.46527997
326,a81758fffe030f79,TY-2102,65.05884748,25.46524644
327,a81758fffe030f80,TY-2103,65.05882938,25.46524644
328,a81758fffe030f81,TY-2104,65.05880959,25.46524644
329,a81758fffe031056,TY-2201,65.05886445,25.46520889
330,a81758fffe030f7c,TY-2202,65.05884635,25.46520621
331,a81758fffe030f7f,TY-2203,65.05882769,25.46520755
